timestamp,building,energy_kwh,solar_kwh,occupancy,max_capacity_kw
2026-02-01 20:00:00,Academic Block A,354.37,0.0,0.87,450
2026-02-01 20:00:00,Academic Block B,233.12,0.0,0.55,450
2026-02-01 20:00:00,Engineering Labs,316.43,0.0,0.73,500
2026-02-01 20:00:00,Student Center,216.09,0.0,0.71,350
2026-02-01 20:00:00,Library Complex,206.84,0.0,0.72,300
2026-02-01 20:00:00,Hostel Blocks,481.71,0.0,0.94,600
2026-02-01 21:00:00,Academic Block A,365.96,0.0,1.0,450
2026-02-01 21:00:00,Academic Block B,286.05,0.0,0.68,450
2026-02-01 21:00:00,Engineering Labs,321.51,0.0,0.74,500
2026-02-01 21:00:00,Student Center,200.81,0.0,0.67,350
2026-02-01 21:00:00,Library Complex,182.12,0.0,0.61,300
2026-02-01 21:00:00,Hostel Blocks,393.06,0.0,0.75,600
2026-02-01 22:00:00,Academic Block A,344.3,0.0,0.83,450
2026-02-01 22:00:00,Academic Block B,345.47,0.0,0.82,450
2026-02-01 22:00:00,Engineering Labs,247.84,0.0,0.58,500
2026-02-01 22:00:00,Student Center,268.02,0.0,0.81,350
2026-02-01 22:00:00,Library Complex,190.5,0.0,0.7,300
2026-02-01 22:00:00,Hostel Blocks,469.66,0.0,0.89,600
2026-02-01 23:00:00,Academic Block A,312.69,0.0,0.78,450
2026-02-01 23:00:00,Academic Block B,292.25,0.0,0.67,450
2026-02-01 23:00:00,Engineering Labs,386.99,0.0,0.82,500
2026-02-01 23:00:00,Student Center,282.6,0.0,0.9,350
2026-02-01 23:00:00,Library Complex,210.41,0.0,0.8,300
2026-02-01 23:00:00,Hostel Blocks,401.65,0.0,0.75,600
